iter	Passed	Remaining
0	3	479
1	6	446
2	8	435
3	10	395
4	13	386
5	15	375
6	18	372
7	21	388
8	24	383
9	26	372
10	28	362
11	31	366
12	34	362
13	36	356
14	39	351
15	42	353
16	44	346
17	46	343
18	49	339
19	52	342
20	55	339
21	57	333
22	59	328
23	62	329
24	65	325
25	67	322
26	69	318
27	71	313
28	75	313
29	77	311
30	80	309
31	82	304
32	85	303
33	88	300
34	90	297
35	92	293
36	95	293
37	98	289
38	100	286
39	103	284
40	106	284
41	109	281
42	111	277
43	114	275
44	117	274
45	120	273
46	124	272
47	126	269
48	128	265
49	132	264
50	134	260
51	136	257
52	139	254
53	142	253
54	144	249
55	147	246
56	149	243
57	151	240
58	154	238
59	156	234
60	159	232
61	161	229
62	163	226
63	166	223
64	168	220
65	170	217
66	173	214
67	175	211
68	177	208
69	180	205
70	182	203
71	185	200
72	187	197
73	190	195
74	192	192
75	194	189
76	196	186
77	200	184
78	202	182
79	204	179
80	207	176
81	211	175
82	214	172
83	216	170
84	220	168
85	223	166
86	226	163
87	228	161
88	230	158
89	235	156
90	237	154
91	240	151
92	242	148
93	245	146
94	247	143
95	250	141
96	252	138
97	254	135
98	257	132
99	259	129
100	262	127
101	264	124
102	266	121
103	268	118
104	271	116
105	273	113
106	275	110
107	277	108
108	280	105
109	282	102
110	285	100
111	288	97
112	291	95
113	295	93
114	297	90
115	299	87
116	302	85
117	304	82
118	307	80
119	309	77
120	312	74
121	314	72
122	316	69
123	317	66
124	319	63
125	321	61
126	323	58
127	325	55
128	326	53
129	328	50
130	330	47
131	331	45
132	333	42
133	335	40
134	337	37
135	338	34
136	340	32
137	342	29
138	344	27
139	346	24
140	347	22
141	349	19
142	351	17
143	352	14
144	354	12
145	355	9
146	357	7
147	358	4
148	360	2
149	362	0
3	0
04	0
	0
